Optimizer;Fully Connected;Activation;Blocks;Node;AVG Train;AVG Valid;AVG Test;Time
sgd;2;relu;1;512;0.7994444568951925;0.7559259335199991;0.754444440205892;1891.8516952991486
sgd;2;relu;1;1000;0.7542592684427897;0.7203703920046488;0.7322221994400024;2055.727095603943
sgd;2;relu;2;512;0.785185178120931;0.7722222208976746;0.7911111116409302;2243.614867925644
sgd;2;relu;2;1000;0.7794444362322489;0.7474074165026346;0.7922222216924032;1943.3995699882507
sgd;2;relu;3;512;0.6612962881724039;0.6448148091634115;0.6588888764381409;2060.8157391548157
sgd;2;relu;3;1000;0.6355555653572083;0.632962961991628;0.6144444346427917;2209.1833114624023
