,loss,accuracy,val_loss,val_accuracy
0,0.6817286610603333,0.5766666531562805,0.6303484439849854,0.7166666388511658
1,0.6286219358444214,0.6574074029922485,0.574489414691925,0.7099999785423279
2,0.5890900492668152,0.6874074339866638,0.565991997718811,0.70333331823349
3,0.5620129108428955,0.7174074053764343,0.5525951385498047,0.7266666889190674
4,0.5408295392990112,0.7207407355308533,0.5639792680740356,0.7166666388511658
5,0.5289420485496521,0.7381481528282166,0.48612919449806213,0.7566666603088379
6,0.5058225989341736,0.7588889002799988,0.4839138686656952,0.7866666913032532
7,0.4960651397705078,0.7637037038803101,0.5228208303451538,0.7599999904632568
8,0.48055917024612427,0.7781481742858887,0.46148917078971863,0.79666668176651
9,0.4810461401939392,0.7770370244979858,0.4557315707206726,0.7900000214576721
10,0.4592954218387604,0.7803703546524048,0.4033467769622803,0.8266666531562805
11,0.4484156668186188,0.7933333516120911,0.42821234464645386,0.8199999928474426
12,0.4505831301212311,0.7907407283782959,0.4236396253108978,0.8100000023841858
13,0.4339067041873932,0.804444432258606,0.4152764678001404,0.8266666531562805
14,0.4381711184978485,0.7970370650291443,0.49188563227653503,0.7733333110809326
15,0.41978511214256287,0.8022222518920898,0.394150048494339,0.8233333230018616
16,0.42403101921081543,0.8125925660133362,0.4247352182865143,0.8166666626930237
17,0.4162106513977051,0.8066666722297668,0.3545961081981659,0.8500000238418579
18,0.4146478474140167,0.804444432258606,0.3600371181964874,0.8500000238418579
19,0.4076223373413086,0.8207407593727112,0.40475791692733765,0.8266666531562805
20,0.40124276280403137,0.8211110830307007,0.3686085045337677,0.8333333134651184
21,0.39442178606987,0.8207407593727112,0.398948609828949,0.8333333134651184
22,0.3884548246860504,0.8266666531562805,0.3780653476715088,0.846666693687439
