,Optimizer,Pooling,Fully Connected,Activation,Blocks,Filters,Padding,Kernel Size,Pool Size,Node,Rotation,Shear,Zoom,Flip,WSR,HSR,ZCA,AVG Train,AVG Valid,AVG Test,Time
29,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,0,0.1,0.2,True,0.1,0,False,0.83648149172465,0.7903703649838766,0.7988889018694559,904.6429152488708
30,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,0,0.1,0.2,True,0.1,0.1,True,0.817037045955658,0.7785185178120931,0.8033333420753479,907.0568511486053
31,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,0,0.1,0.2,True,0.1,0.1,False,0.8100000023841858,0.7759259343147278,0.7944444616635641,904.545565366745
32,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,15,0,0,True,0,0,True,0.8514814774195353,0.78851850827535,0.7866666714350382,891.2070240974426
33,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,15,0,0,True,0,0,False,0.8701851765314738,0.7962962985038757,0.8022222320238749,892.1303517818451
34,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,15,0,0,True,0,0.1,True,0.8316666682561239,0.7896296381950378,0.7844444513320923,953.5703256130219
35,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,15,0,0,True,0,0.1,False,0.8412962754567465,0.7929629683494568,0.8022222320238749,980.2020273208618
36,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,15,0,0,True,0.1,0,True,0.8487037022908529,0.7918518582979838,0.8033333420753479,1002.5271604061127
37,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,15,0,0,True,0.1,0,False,0.8392592469851176,0.78851850827535,0.8055555621782938,1012.199303150177
38,sgd,MAX,2,tanh,2,128,valid,"(3, 3)","(5, 5)",512,15,0,0,True,0.1,0.1,True,0.8277777830759684,0.7844444314638773,0.8066666722297668,995.0886969566345
