,Optimizer,Fully Connected,Activation,Blocks,Node,Filters,AVG Train,AVG Valid,AVG Test,Time
0,sgd,2,tanh,1,512,64,0.8059259255727133,0.7696296374003092,0.7911111116409302,1585.7831594944
1,sgd,2,tanh,1,1000,64,0.8029629588127136,0.7688888907432556,0.7944444616635641,1528.7989616394043
2,sgd,2,tanh,1,512,128,0.8209259311358134,0.7692592342694601,0.801111121972402,1671.8478152751923
3,sgd,2,tanh,1,1000,128,0.8270370364189148,0.7900000015894572,0.8033333222071329,1973.5420203208923
