,Optimizer,Fully Connected,Activation,Blocks,Node,AVG Train,AVG Valid,AVG Test,Time
0,adam,2,relu,1,128,0.5507407387097677,0.5370370348294576,0.5344444314638773,318.1320366859436
1,adam,2,relu,1,256,0.6046296159426371,0.5955555637677511,0.5866666634877523,323.2375454902649
2,adam,2,relu,1,512,0.5327777763207754,0.5181481540203094,0.5244444410006205,254.73716926574707
3,sgd,2,relu,1,128,0.6872222224871317,0.6714814702669779,0.6833333174387614,365.69456672668457
4,sgd,2,relu,1,256,0.6911110877990723,0.6644444266955057,0.6855555574099222,361.1179428100586
5,sgd,2,relu,1,512,0.6929629643758138,0.6762962738672892,0.6922222177187601,362.3067889213562
6,rmsprop,2,relu,1,128,0.6453703840573629,0.6322222153345743,0.6622222264607748,337.60809898376465
7,rmsprop,2,relu,1,256,0.6540740728378296,0.649999996026357,0.6688888867696127,338.44314885139465
8,rmsprop,2,relu,1,512,0.493703693151474,0.5144444505373637,0.49444442987442017,216.80658984184265
