,Optimizer,Fully Connected,Activation,Blocks,Node,AVG Train,AVG Valid,AVG Test,Time
0,sgd,2,relu,1,512,0.7812963128089905,0.7448148131370544,0.7522222201029459,2054.2257289886475
1,sgd,2,relu,1,1000,0.7970370451609293,0.7525925834973654,0.751111110051473,2178.6936700344086
2,sgd,2,relu,1,512,0.7679629723230997,0.7481481631596884,0.7355555693308512,2414.9763362407684
3,sgd,2,relu,1,1000,0.8294444481531779,0.7633333404858907,0.7677777806917826,2342.80832529068
4,sgd,2,relu,1,512,0.7894444266955057,0.7485185265541077,0.7622222105662028,2287.307559967041
5,sgd,2,relu,1,1000,0.7803703745206197,0.737407386302948,0.7388888994852701,2387.7956800460815
