,Optimizer,Fully Connected,Activation,Blocks,Node,AVG Train,AVG Valid,AVG Test,Time
0,sgd,2,sigmoid,1,512,0.5,0.5018518567085266,0.49444442987442017,269.8521966934204
1,sgd,2,sigmoid,1,1024,0.5081481337547302,0.4855555593967438,0.49444442987442017,297.00914692878723
2,sgd,2,tanh,1,512,0.7061111132303873,0.7007407546043396,0.702222208182017,362.609534740448
3,sgd,2,tanh,1,1024,0.7038888732592264,0.6970370411872864,0.6955555478731791,365.65898728370667
4,sgd,2,relu,1,512,0.6788888971010844,0.6788888971010844,0.6755555470784506,365.33402967453003
5,sgd,2,relu,1,1024,0.6744444568951925,0.6714814702669779,0.6577777862548828,365.3018276691437
